a	(-AH0_)
bilello	(B-IH0_)(L-EH1_)(L-OW0_)
biles	(B-AY1_L Z)
bilger	(B-IH1_L)(G-ER0_)
bilicki	(B-IH0_)(L-IH1_T)(S K-IY0_)
bilings	(B-AY1_)(L-IH0_NG Z)
bilingual	(B-AY0_)(L-IH1_NG)(G W-AH0_L)
bilingualism	(B-AY0_)(L-IH1_NG)(G W-AH0_)(L-IH2_)(Z-AH0_M)
bilinski	(B-IH0_)(L-IH1_N)(S K-IY0_)
bilious	(B-IH1_)(L-IY0_)(-AH0_S)
bilirakis	(B-IH0_)(L-IH1_)(R-AH0_)(K-IH0_S)
bilk	(B-IH1_L K)
bilka	(B-IH1_L)(K-AH0_)
bilked	(B-IH1_L K T)
bilking	(B-IH1_L)(K-IH0_NG)
bilko	(B-IH1_L)(K-OW0_)
bill	(B-IH1_L)
billable	(B-IH1_)(L-AH0_)(B-AH0_L)
billancourt	(B-IH1_)(L-AH0_N)(K-AO2_R T)
billard	(B-IH0_)(L-AA1_R D)
billboard	(B-IH1_L)(B-AO2_R D)
billboards	(B-IH1_L)(B-AO2_R D Z)
bille	(B-AY1_L)
billed	(B-IH1_L D)
biller	(B-IH1_)(L-ER0_)
billerica	(B-IH2_)(L-ER0_)(-IY1_)(K-AH0_)
billes	(B-IH1_L Z)
billet	(B-IH1_)(L-AH0_T)
billeter	(B-IH1_)(L-IY0_)(T-ER0_)
billets	(B-IH1_)(L-AH0_T S)
billett	(B-IH1_)(L-IH0_T)
billfold	(B-IH1_L)(F-OW2_L D)
billiard	(B-IH1_L)(Y-ER0_D)
billiards	(B-IH1_L)(Y-ER0_D Z)
billick	(B-IH1_)(L-IH0_K)
billie	(B-IH1_)(L-IY0_)
billig	(B-IH1_)(L-IH0_G)
billing	(B-IH1_)(L-IH0_NG)
billinger	(B-IH1_)(L-IH0_N)(G-ER0_)
billingham	(B-IH1_)(L-IH0_NG)(HH-AE2_M)
billings	(B-IH1_)(L-IH0_NG Z)
billingslea	(B-IH1_)(L-IH0_NGZ)(L-IY0_)
billingsley	(B-IH1_)(L-IH0_NGZ)(L-IY0_)
billingsly	(B-IH1_)(L-IH0_NGZ)(L-IY0_)
billington	(B-IH1_)(L-IH0_NG)(T-AH0_N)
billion	(B-IH1_L)(Y-AH0_N)
billionaire	(B-IH2_L)(Y-AH0_)(N-EH1_R)
billionaires	(B-IH2_L)(Y-AH0_)(N-EH1_R Z)
billions	(B-IH1_L)(Y-AH0_N Z)
billionth	(B-IH1_L)(Y-AH0_N TH)
billionths	(B-IH1_L)(Y-AH0_N TH S)
billiot	(B-IH1_)(L-IY0_)(-AA0_T)
billips	(B-IH1_)(L-IH0_P S)
billiter	(B-IH1_)(L-IY0_)(T-ER0_)
billiton	(B-IH1_)(L-IH0_)(T-AH0_N)
billman	(B-IH1_L)(M-AH0_N)
billmeyer	(B-IH1_L)(M-AY0_)(-ER0_)
billon	(B-IH1_)(L-AH0_N)
billow	(B-IH1_)(L-OW0_)
billowed	(B-IH1_)(L-OW0_D)
billowing	(B-IH1_)(L-OW0_)(-IH0_NG)
billows	(B-IH1_)(L-OW0_Z)
bills	(B-IH1_L Z)
billup	(B-IH1_)(L-AH0_P)
billups	(B-IH1_)(L-AH0_P S)
billy	(B-IH1_)(L-IY0_)
bilodeau	(B-IH1_)(L-AH0_)(D-OW0_)
bilotta	(B-IH0_)(L-OW1_)(T-AH0_)
bilotti	(B-IH0_)(L-AA1_)(T-IY0_)
bilow	(B-IH1_)(L-OW0_)
biloxi	(B-AH0_)(L-AH1_K)(S-IY0_)
bilski	(B-IH1_L)(S K-IY0_)
bilsky	(B-IH1_L)(S K-IY0_)
bilson	(B-IH1_L)(S-AH0_N)
biltmore	(B-IH1_LT)(M-AO2_R)
bilton	(B-IH1_L)(T-AH0_N)
biltz	(B-IH1_L T S)
bily	(B-IH1_)(L-IY0_)
bilyeu	(B-IH1_)(L-IY0_)(-UW0_)
bilyk	(B-IH1_)(L-IH0_K)
bilzerian	(B-IH0_L)(Z-EH1_)(R-IY0_)(-AH0_N)
bima	(B-IY1_)(M-AH0_)
bimbo	(B-IH1_M)(B-OW0_)
bimbos	(B-IH1_M)(B-OW0_S)
bimini	(B-IH1_)(M-AH0_)(N-IY0_)
bimiodal	(B-AY0_)(M-OW1_)(D-AH0_L)
bimonthly	(B-AY0_)(M-AH1_NTH)(L-IY0_)
bin	(B-IH1_N)
bina	(B-IY1_)(N-AH0_)
binary	(B-AY1_)(N-ER0_)(-IY0_)
binational	(B-AY0_)(N-AE1_)(SH-AH0_)(N-AH0_L)
bind	(B-AY1_N D)
bindel	(B-IH1_N)(D-AH0_L)
binder	(B-AY1_N)(D-ER0_)
binders	(B-AY1_N)(D-ER0_Z)
binding	(B-AY1_N)(D-IH0_NG)
bindle	(B-IH1_N)(D-AH0_L)
bindles	(B-IH1_N)(D-AH0_L Z)
bindley	(B-IH1_ND)(L-IY0_)
binds	(B-AY1_N D Z)
binegar	(B-IH1_)(N-IH0_)(G-ER0_)
bines	(B-AY1_N Z)
binette	(B-IH0_)(N-EH1_T)
binetti	(B-IH0_)(N-EH1_)(T-IY0_)
binfield	(B-IH1_N)(F-IY2_L D)
binford	(B-IH1_N)(F-ER0_D)
bing	(B R-AY1_)(B-IH0_NG)
binga	(B-IY1_NG)(G-AH0_)
bingaman	(B-IH1_N)(G-AH0_)(M-AH0_N)
binge	(B-IH1_N JH)
bingel	(B-IH1_NG)(G-AH0_L)
bingenheimer	(B-IH1_NG)(G-IH0_N)(HH-AY0_)(M-ER0_)
binger	(B-IH1_N)(G-ER0_)
binges	(B-IH1_N)(JH-IH0_Z)
bingham	(B-IH1_N)(G-AH0_M)
binghamton	(B-IH1_N)(G-AH0_M)(T-AH0_N)
binging	(B-IH1_NG)(G-IH0_NG)
bingle	(B-IH1_NG)(G-AH0_L)
bingley	(B-IH1_N)(G L-IY0_)
bingman	(B-IH1_NG)(M-AH0_N)
bingo	(B-IH1_NG)(G-OW0_)
binion	(B-IH1_N)(Y-AH0_N)
bink	(B-IH1_NG K)
binkley	(B-IH1_NG)(K L-IY0_)
binkowski	(B-IH0_NG)(K-AO1_F)(S K-IY0_)
binn	(B-IH1_N)
binner	(B-IH1_)(N-ER0_)
binney	(B-IH1_)(N-IY0_)
binnie	(B-IH1_)(N-IY0_)
binning	(B-IH1_)(N-IH0_NG)
binns	(B-IH1_N Z)
binocular	(B-AH0_)(N-AA1_)(K Y-AH0_)(L-ER0_)
binoculars	(B-AH0_)(N-AA1_)(K Y-AH0_)(L-ER0_Z)
binomial	(B-AY0_)(N-OW1_)(M-IY0_)(-AH0_L)
bins	(B-IH1_N Z)
binstock	(B-IH1_N)(S T-AA2_K)
bintz	(B-IH1_N T S)
binz	(B-IH1_N Z)
bio	(B-AY2_)(-OW1_)
biochem	(B-AY1_)(-AH0_)(CH-AH0_M)
biochemical	(B-AY2_)(-OW0_)(K-EH1_)(M-AH0_)(K-AH0_L)
biochemist	(B-AY2_)(-OW0_)(K-EH1_)(M-AH0_S T)
biochemistry	(B-AY2_)(-OW0_)(K-EH1_)(M-AH0_)(S T R-IY0_)
biocine	(B-AY1_)(-AH0_)(S-IY2_N)
biocontrol	(B-AY2_)(-AH0_)(K-AA1_N)(T R-AA0_L)
biocraft	(B-AY1_)(-OW0_)(K R-AE2_F T)
biodegradable	(B-AY2_)(-OW0_)(D-AH0_)(G R-EY1_)(D-AH0_)(B-AH0_L)
biodiverse	(B-AY2_)(-OW0_)(D-AY0_)(V-ER1_S)
biodiversity	(B-AY2_)(-OW0_)(D-AY0_)(V-ER1_)(S-AH0_)(T-IY0_)
bioengineer	(B-AY2_)(-OW0_)(-EH2_N)(JH-AH0_)(N-IH1_R)
bioengineered	(B-AY2_)(-OW0_)(-EH2_N)(JH-AH0_)(N-IH1_R D)
bioengineering	(B-AY2_)(-OW0_)(-EH2_N)(JH-AH0_)(N-IH1_)(R-IH0_NG)
bioethics	(B-AY2_)(-OW0_)(-EH1_)(TH-IH0_K S)
biofeedback	(B-AY0_)(-OW0_)(F-IY1_D)(B-AE2_K)
biogen	(B-AY1_)(-OW0_)(JH-EH2_N)
biographer	(B-AY0_)(-AA1_)(G R-AH0_)(F-ER0_)
biographers	(B-AY0_)(-AA1_)(G R-AH0_)(F-ER0_Z)
biographical	(B-AY2_)(-AH0_)(G R-AE1_)(F-IH0_)(K-AH0_L)
biographies	(B-AY0_)(-AA1_)(G R-AH0_)(F-IY0_Z)
biography	(B-AY0_)(-AA1_)(G R-AH0_)(F-IY0_)
biohazard	(B-AY2_)(-OW0_)(HH-AE1_)(Z-ER0_D)
biohazards	(B-AY2_)(-OW0_)(HH-AE1_)(Z-ER0_D Z)
biologic	(B-AY2_)(-AH0_)(L-AA1_)(JH-IH0_K)
biological	(B-AY2_)(-AH0_)(L-AA1_)(JH-IH0_)(K-AH0_L)
biologically	(B-AY0_)(-AH0_)(L-AA1_)(JH-IH0_)(K L-IY0_)
biologicals	(B-AY0_)(-AH0_)(L-AA1_)(JH-IH0_)(K-AH0_L Z)
biologics	(B-AY0_)(-AH0_)(L-AA1_)(JH-IH0_K S)
biologist	(B-AY0_)(-AA1_)(L-AH0_)(JH-AH0_S T)
biologists	(B-AY0_)(-AA1_)(L-AH0_)(JH-AH0_S T S)
biology	(B-AY0_)(-AA1_)(L-AH0_)(JH-IY0_)
biomass	(B-AY1_)(-AH0_)(M-AE0_S)
biomaterial	(B-AY2_)(-OW0_)(M-AH0_)(T-IH1_)(R-IY0_)(-AH0_L)
biomaterials	(B-AY2_)(-OW0_)(M-AH0_)(T-IH1_)(R-IY0_)(-AH0_L Z)
biome	(B-AY1_)(-OW2_M)
biomed	(B-AY2_)(-OW0_)(M-EH1_D)
biomedical	(B-AY2_)(-OW0_)(M-EH1_)(D-IH0_)(K-AH0_L)
biomedicals	(B-AY2_)(-OW0_)(M-EH1_)(D-IH0_)(K-AH0_L Z)
biomes	(B-AY2_)(-OW1_M Z)
biomet	(B-AY1_)(-OW0_)(M-EH0_T)
biondi	(B-IY0_)(-AA1_N)(D-IY0_)
biondo	(B-IY0_)(-OW1_N)(D-OW0_)
biondolillo	(B-IY0_)(-OW0_N)(D-OW0_)(L-IH1_)(L-OW0_)
bionetic	(B-AY2_)(-OW0_)(N-EH1_)(T-IH0_K)
bionetics	(B-AY2_)(-OW0_)(N-EH1_)(T-IH0_K S)
biopharm	(B-AY1_)(-AH0_)(F-AA0_R M)
biopharmaceutical	(B-AY2_)(-OW0_)(F-AA2_R)(M-AH0_)(S-UW1_)(T-IH0_)(K-AH0_L)
biopharmacy	(B-AY2_)(-OW0_)(F-AA1_R)(M-AH0_)(S-IY0_)
biophysics	(B-AY2_)(-OW0_)(F-IH1_)(S-IH0_K S)
biopsies	(B-AY1_)(-AA0_P)(S-IY0_Z)
biopsy	(B-AY1_)(-AA0_P)(S-IY0_)
bios	(B-AY1_)(-OW0_S)
biosafety	(B-AY2_)(-OW0_)(S-EY1_F)(T-IY0_)
bioscience	(B-AY2_)(-OW0_)(S-IY1_)(-AH0_N S)
biosciences	(B-AY0_)(-AO1_)(S-IY0_)(-EH2_N)(S-IH0_Z)
biosensor	(B-AY2_)(-OW0_)(S-EH1_N)(S-ER0_)
biosensors	(B-AY2_)(-OW0_)(S-EH1_N)(S-ER0_Z)
biosis	(B-IY0_)(-OW1_)(Z-IH0_S)
biosphere	(B-AY1_)(-OW0_)(S F-IH2_R)
biospheres	(B-AY1_)(-OW0_)(S F-IH2_R Z)
biospherian	(B-AY2_)(-OW0_)(S F-IH1_)(R-IY0_)(-AH0_N)
biospherians	(B-AY2_)(-OW0_)(S F-IH1_)(R-IY0_)(-AH0_N Z)
biosys	(B-AY1_)(-OW0_)(S-IH0_S)
biosystem	(B-AY1_)(-OW0_)(S-IH2_)(S T-AH0_M)
biosystems	(B-AY1_)(-OW0_)(S-IH2_)(S T-AH0_M Z)
biotech	(B-AY1_)(-OW0_)(T-EH2_K)
biotechnica	(B-AY2_)(-OW0_)(T-EH1_K)(N-IH0_)(K-AH0_)
biotechnological	(B-AY2_)(-OW0_)(T-EH2_K)(N-AH0_)(L-AA1_)(JH-IH0_)(K-AH0_L)
biotechnologies	(B-AY2_)(-OW0_)(T-EH2_K)(N-AA1_)(L-AH0_)(JH-IY0_Z)
biotechnology	(B-AY2_)(-OW0_)(T-EH2_K)(N-AA1_)(L-AH0_)(JH-IY0_)
biotechs	(B-AY1_)(-OW0_)(T-EH2_K S)
biotherapeutic	(B-AY2_)(-OW0_)(TH-EH2_)(R-AH0_)(P Y-UW1_)(T-IH0_K)
biotherapeutics	(B-AY2_)(-OW0_)(TH-EH2_)(R-AH0_)(P Y-UW1_)(T-IH0_K S)
biotin	(B-AY1_)(-AH0_)(T-AH0_N)
biotite	(B-AY1_)(-AH0_)(T-AY2_T)
biovest	(B-AY1_)(-OW0_)(V-AH0_S T)
bipartisan	(B-AY0_)(P-AA1_R)(T-IH0_)(Z-AH0_N)
bipartisanship	(B-AY0_)(P-AA1_R)(T-AH0_)(Z-AH0_N)(SH-IH2_P)
biphenyl	(B-IH1_)(F-AH0_)(N-AH0_L)
biphenyls	(B-IH1_)(F-AH0_)(N-AH0_L Z)
biplane	(B-AY1_)(P L-EY2_N)
bipolar	(B-AY0_)(P-OW1_)(L-ER0_)
bippus	(B-IH1_)(P-AH0_S)
bir	(B-ER1_)
biracial	(B-AY0_)(R-EY1_)(SH-AH0_L)
birch	(B-ER1_CH)
birchall	(B-ER1_)(K-AH0_L)
birchard	(B-ER1_)(K-ER0_D)
bircher	(B-ER1_)(CH-ER0_)
birchett	(B-ER1_)(CH-IH0_T)
birchfield	(B-ER1_CH)(F-IY2_L D)
birchler	(B-ER1_)(K-AH0_)(L-ER0_)
birchmeier	(B-ER1_K)(M-AY0_)(-ER0_)
birckhead	(B-ER1_K)(HH-EH0_D)
bird	(B-ER1_D)
birdcage	(B-ER1_D)(K-EY0_JH)
birden	(B-ER1_)(D-AH0_N)
birder	(B-ER1_)(D-ER0_)
birders	(B-ER1_)(D-ER0_Z)
birdfeather	(B-ER1_D)(F-EH1_)(DH-ER0_)
birdfeeder	(B-ER1_D)(F-IY1_)(D-ER0_)
birdfeeders	(B-ER1_D)(F-IY1_)(D-ER0_Z)
birdfinder	(B-ER1_D)(F-AY2_N)(D-ER0_)
birdie	(B-ER1_)(D-IY0_)
birdied	(B-ER1_)(D-IY0_D)
birdlife	(B-ER1_D)(L-AY2_F)
birdman	(B-ER1_D)(M-AE0_N)
birds	(B-ER1_D Z)
birdsall	(B-ER1_D)(Z-AO2_L)
birdsell	(B-ER1_D)(S-AH0_L)
birdsong	(B-ER1_D)(S-AO2_NG)
birdwell	(B-ER1_)(D W-EH2_L)
birdy	(B-ER1_)(D-IY0_)
bireme	(B-AY1_)(R-IY2_M)
biremes	(B-AY1_)(R-IY2_M Z)
birenbaum	(B-AY1_)(R-AH0_N)(B-AW0_M)
bires	(B-AY1_R Z)
birge	(B-ER1_JH)
birinyi	(B-IH0_)(R-IY1_N)(Y-IY0_)
birk	(B-ER1_K)
birkedal	(B-ER1_)(K-AH0_)(D-AA2_L)
birkel	(B-ER1_)(K-AH0_L)
birkeland	(B-ER1_)(K L-AH0_N D)
birkenau	(B-ER1_)(K-AH0_)(N-AW0_)
birkes	(B-ER1_K S)
birkett	(B-ER1_)(K-IH0_T)
birkey	(B-ER1_)(K-IY0_)
birkhead	(B-ER1_K)(HH-EH0_D)
birkhimer	(B-ER1_K)(HH-IH0_)(M-ER0_)
birkholz	(B-ER1_K)(HH-OW0_L Z)
birkland	(B-ER1_)(K L-AH0_N D)
birkner	(B-ER1_K)(N-ER0_)
birks	(B-ER1_K S)
birky	(B-ER1_)(K-IY0_)
birle	(B-ER1_L)
birley	(B-ER1_)(L-IY0_)
birman	(B-ER1_)(M-AH0_N)
birmid	(B-ER1_)(M-IH0_D)
birmingham	(B-ER1_)(M-IH0_NG)(HH-AE2_M)
birnbaum	(B-ER1_N)(B-AW0_M)
birney	(B-ER1_)(N-IY0_)
birnie	(B-ER1_)(N-IY0_)
biro	(B-IH1_)(R-OW0_)
biron	(B-AY1_)(R-AH0_N)
biros	(B-AY1_)(R-OW0_Z)
birr	(B-ER1_)
birren	(B-ER1_)(-AH0_N)
birt	(B-ER1_T)
birtcher	(B-ER1_)(CH-ER0_)
birth	(B-ER1_TH)
birthday	(B-ER1_TH)(D-EY2_)
birthdays	(B-ER1_TH)(D-EY2_Z)
birthing	(B-ER1_)(TH-IH0_NG)
birthmark	(B-ER1_TH)(M-AA2_R K)
birthmarks	(B-ER1_TH)(M-AA2_R K S)
birthplace	(B-ER1_TH)(P L-EY2_S)
birthrate	(B-ER1_)(TH R-EY2_T)
birthrates	(B-ER1_)(TH R-EY2_T S)
birthright	(B-ER1_)(TH R-AY2_T)
births	(B-ER1_TH S)
birtle	(B-ER1_)(T-AH0_L)
birtley	(B-ER1_T)(L-IY0_)
bis	(B-IH1_S)
bisaillon	(B-AY1_)(S-AH0_)(L-AA0_N)
bisbee	(B-IH1_S)(B-IY0_)
bisbing	(B-IH1_S)(B-IH0_NG)
biscardi	(B-IH0_)(S K-AA1_R)(D-IY0_)
biscayne	(B-IH0_)(S K-EY1_N)
bisceglia	(B-IH0_S)(CH-EH1_)(G L-IY0_)(-AH0_)
bisch	(B-IH1_SH)
bischel	(B-IH1_)(SH-AH0_L)
bischof	(B-IH1_)(SH-AH0_F)
bischofberger	(B-IH1_)(SH-AO0_F)(B-ER0_)(G-ER0_)
bischoff	(B-IH1_SK)(HH-AO0_F)
biscoe	(B-IH0_)(S K-OW1_)
biscuit	(B-IH1_)(S K-AH0_T)
biscuits	(B-IH1_)(S K-AH0_T S)
bise	(B-AY1_Z)
bisek	(B-IH1_)(S-IH0_K)
bisel	(B-IH1_)(S-AH0_L)
biser	(B-AY1_)(Z-ER0_)
bisesi	(B-IH0_)(S-EH1_)(S-IY0_)
bisexual	(B-AY2_)(S-EH1_K)(SH-UW0_)(-AH0_L)
bisexuality	(B-AY2_)(S-EH0_K)(SH-UW0_)(-AE1_)(L-AH0_)(T-IY0_)
bisexuals	(B-AY2_)(S-EH1_K)(SH-UW0_)(-AH0_L Z)
bish	(B-IH1_SH)
bisher	(B-IH1_)(SH-ER0_)
bishoff	(B-IH1_S)(HH-AO0_F)
bishop	(B-IH1_)(SH-AH0_P)
bishoprics	(B-IH1_)(SH-AH0_)(P R-IH0_K S)
bishops	(B-IH1_)(SH-AH0_P S)
bishopsgate	(B-IH1_)(SH-AH0_PS)(G-EY2_T)
bisiani	(B-IH0_)(S-IY0_)(-AA1_)(N-IY0_)
bisig	(B-IH1_)(S-IH0_G)
bisignano	(B-IH0_)(S-IY0_G)(N-AA1_)(N-OW0_)
biskup	(B-IH1_)(S K-AH0_P)
bismarck	(B-IH1_Z)(M-AA2_R K)
bismark	(B-IH1_Z)(M-AA2_R K)
bismuth	(B-IH1_Z)(M-AH0_TH)
bison	(B-AY1_)(S-AH0_N)
bisping	(B-IH1_)(S P-IH0_NG)
bisque	(B-IH1_S K)
biss	(B-IH1_S)
bissell	(B-IH1_)(S-AH0_L)
bissen	(B-IH1_)(S-AH0_N)
bisset	(B-IH1_)(S-IH0_T)
bissett	(B-IH1_)(S-IH0_T)
bissette	(B-IH0_)(S-EH1_T)
bissey	(B-IH1_)(S-IY0_)
bissinger	(B-IH1_)(S-IH0_N)(JH-ER0_)
bisso	(B-IY1_)(S-OW0_)
bisson	(B-IH1_)(S-AH0_N)
bissonette	(B-IH1_)(S-AH0_)(N-EH0_T)
bissonnette	(B-IH1_)(S-AH0_)(N-EH2_T)
bistline	(B-IH1_ST)(L-AY2_N)
bistodeau	(B-IH1_)(S T-AH0_)(D-OW0_)
bistro	(B-IH1_)(S T R-OW0_)
bisuteki	(B-IY2_)(S-UW0_)(T-EY1_)(K-IY0_)
bit	(B-IH1_T)
bitar	(B-IH1_)(T-ER0_)
bitch	(B-IH1_CH)
bitches	(B-IH1_)(CH-IH0_Z)
bitchy	(B-IH1_)(CH-IY0_)
bite	(B-AY1_T)
biter	(B-AY1_)(T-ER0_)
bites	(B-AY1_T S)
bitesize	(B-IH1_T)(S-AY2_Z)
bither	(B-IH1_)(DH-ER0_)
biting	(B-AY1_)(T-IH0_NG)
bitler	(B-AY1_)(T-AH0_)(L-ER0_)
bitner	(B-IH1_T)(N-ER0_)
bitney	(B-IH1_T)(N-IY0_)
bits	(B-IH1_T S)
bitsy	(B-IH1_T)(S-IY0_)
bittel	(B-IH1_)(T-AH0_L)
bitten	(B-IH1_)(T-AH0_N)
bittenbender	(B-IH1_)(T-IH0_N)(B-EH2_N)(D-ER0_)
bitter	(B-IH1_)(T-ER0_)
bitterest	(B-IH1_)(T-ER0_)(-AH0_S T)
bitterly	(B-IH1_)(T-ER0_)(L-IY0_)
bitterman	(B-IH1_)(T-ER0_)(M-AH0_N)
bittermann	(B-IH1_)(T-ER0_)(M-AH0_N)
bitterness	(B-IH1_)(T-ER0_)(N-AH0_S)
bitterroot	(B-IH1_)(T-ER0_)(R-UW2_T)
bitters	(B-IH1_)(T-ER0_Z)
bittersweet	(B-IH1_)(T-ER0_)(S W-IY2_T)
bittick	(B-IH1_)(T-IH0_K)
bitting	(B-IH1_)(T-IH0_NG)
bittinger	(B-IH1_)(T-IH0_N)(G-ER0_)
bittle	(B-IH1_)(T-AH0_L)
bittman	(B-IH1_T)(M-AH0_N)
bittner	(B-IH1_T)(N-ER0_)
bitton	(B-IH1_)(T-AH0_N)
bitty	(B-IH1_)(T-IY0_)
bitumen	(B-IH2_)(T-UW1_)(M-AH0_N)
bituminous	(B-IH0_)(T-UW1_)(M-AH0_)(N-AH0_S)
bitz	(B-IH1_T S)
bitzer	(B-IH1_T)(Z-ER0_)
bivalve	(B-AY1_)(V-AE2_L V)
bivalves	(B-AY1_)(V-AE2_L V Z)
biven	(B-AY1_)(V-AH0_N)
bivens	(B-AY1_)(V-AH0_N Z)
biviano	(B-IY2_)(V-IY0_)(-AA1_)(N-OW0_)
bivin	(B-IH1_)(V-IH0_N)
bivins	(B-IH1_)(V-IH0_N Z)
bivona	(B-IH0_)(V-OW1_)(N-AH0_)
bivouac	(B-IH1_V)(W-AE0_K)
biweekly	(B-AY0_)(W-IY1_)(K L-IY0_)
bix	(B-IH1_K S)
bixby	(B-IH1_KS)(B-IY0_)
bixel	(B-IH1_K)(S-AH0_L)
bixler	(B-IH1_K)(S L-ER0_)
biz	(B-IH1_Z)
bizango	(B-IH0_)(Z-AE1_NG)(G-OW0_)
bizarre	(B-AH0_)(Z-AA1_R)
bizmart	(B-IH1_Z)(M-AA2_R T)
bizub	(B-IH1_)(Z-AH0_B)
bizzell	(B-IH1_)(Z-AH0_L)
bizzy	(B-IH1_)(Z-IY0_)
bjelasnica	(B Y-EH0_)(L-AE1_)(S N-IH0_)(K-AH0_)
bjelland	(B Y-EH1_)(L-AH0_N D)
bjerke	(B Y-ER1_K)
bjoern	(B Y-AO1_R N)
bjorge	(B Y-AO1_R G)
bjork	(B Y-AO1_R K)
bjorklund	(B Y-AO1_R)(K L-AH0_N D)
bjorkman	(B Y-AO1_RK)(M-AH0_N)
bjorn	(B Y-AO1_R N)
bjornstad	(B Y-AO1_RN)(S T-AH0_D)
blachly	(B L-AA1_CH)(L-IY0_)
black	(B L-AE1_K)
blackard	(B L-AE1_)(K-ER0_D)
blackball	(B L-AE1_K)(B-AO2_L)
blackberries	(B L-AE1_K)(B-EH2_)(R-IY0_Z)
blackberry	(B L-AE1_K)(B-EH2_)(R-IY0_)
blackbird	(B L-AE1_K)(B-ER0_D)
blackbirds	(B L-AE1_K)(B-ER0_D Z)
blackboard	(B L-AE1_K)(B-AO2_R D)
blackboards	(B L-AE1_K)(B-AO2_R D Z)
blackburn	(B L-AE1_K)(B-ER0_N)
blacked	(B L-AE1_K T)
blacken	(B L-AE1_)(K-AH0_N)
blackened	(B L-AE1_)(K-AH0_N D)
blackening	(B L-AE1_)(K-AH0_)(N-IH0_NG)
blackens	(B L-AE1_)(K-AH0_N Z)
blacker	(B L-AE1_)(K-ER0_)
blackerby	(B L-AE1_)(K-ER0_)(B-IY0_)
blackest	(B L-AE1_)(K-AH0_S T)
blacketer	(B L-AE1_)(K-IY0_)(T-ER0_)
blackett	(B L-AE1_)(K-IH0_T)
blackfoot	(B L-AE1_K)(F-UH2_T)
blackford	(B L-AE1_K)(F-ER0_D)
blackham	(B L-AE1_K)(HH-AH0_M)
blackhawk	(B L-AE1_K)(HH-AO2_K)
blackhawks	(B L-AE1_K)(HH-AO2_K S)
blackheath	(B L-AE1_K)(HH-IY2_TH)
blackhurst	(B L-AE1_K)(HH-ER0_S T)
blackjack	(B L-AE1_K)(JH-AE2_K)
blackledge	(B L-AE1_)(K L-EH2_JH)
blackley	(B L-AE1_)(K L-IY0_)
blacklist	(B L-AE1_)(K L-IH2_S T)
blacklisted	(B L-AE1_)(K L-IH2_)(S T-IH0_D)
blacklisting	(B L-AE1_)(K L-IH2_)(S T-IH0_NG)
blacklock	(B L-AE1_)(K L-AA2_K)
blackmail	(B L-AE1_K)(M-EY2_L)
blackmailed	(B L-AE1_K)(M-EY2_L D)
blackmailing	(B L-AE1_K)(M-EY2_)(L-IH0_NG)
blackman	(B L-AE1_K)(M-AH0_N)
blackmer	(B L-AE1_K)(M-ER0_)
blackmon	(B L-AE1_K)(M-AH0_N)
blackmore	(B L-AE1_K)(M-AO0_R)
blackmun	(B L-AE1_K)(M-AH0_N)
blackness	(B L-AE1_K)(N-AH0_S)
blackout	(B L-AE1_)(K-AW2_T)
blackouts	(B L-AE1_)(K-AW2_T S)
blackpool	(B L-AE1_K)(P-UW2_L)
blackrock	(B L-AE1_)(K R-AA2_K)
blacks	(B L-AE1_K S)
blacksburg	(B L-AE1_KS)(B-ER0_G)
blackshear	(B L-AE1_K)(SH-IH0_R)
blacksher	(B L-AE1_K)(SH-ER0_)
blackshire	(B L-AE1_K)(SH-AY2_R)
blacksmith	(B L-AE1_K)(S M-IH2_TH)
blackson	(B L-AE1_K)(S-AH0_N)
blackstock	(B L-AE1_K)(S T-AA2_K)
blackston	(B L-AE1_K)(S T-AH0_N)
blackstone	(B L-AE1_K)(S T-OW2_N)
blacktop	(B L-AE1_K)(T-AA2_P)
blackwelder	(B L-AE1_)(K W-EH2_L)(D-ER0_)
blackwell	(B L-AE1_)(K W-EH2_L)
blackwood	(B L-AE1_)(K W-UH2_D)
bladder	(B L-AE1_)(D-ER0_)
bladders	(B L-AE1_)(D-ER0_Z)
blade	(B L-EY1_D)
bladed	(B L-EY1_)(D-IH0_D)
bladen	(B L-EY1_)(D-AH0_N)
blades	(B L-EY1_D Z)
blading	(B L-EY1_)(D-IH0_NG)
bladow	(B L-AE1_)(D-OW0_)
blaese	(B L-EY1_Z)
blaesing	(B L-EH1_)(S-IH0_NG)
blagden	(B L-AE1_G)(D-AH0_N)
blagg	(B L-AE1_G)
blah	(B L-AA1_)
blaha	(B L-AA1_)(HH-AH0_)
blahnik	(B L-AA1_)(N-IH0_K)
blahut	(B L-AE1_)(HH-AH0_T)
blaich	(B L-EY1_CH)
blaikie	(B L-EY1_)(K-IY0_)
blain	(B L-EY1_N)
blaine	(B L-EY1_N)
blair	(B L-EH1_R)
blais	(B L-EH1_Z)
blaisdell	(B L-EY1_S)(D-AH0_L)
blaise	(B L-EY1_Z)
blaiser	(B L-EY1_)(Z-ER0_)
blaize	(B L-EY1_Z)
blake	(B L-EY1_K)
blakeley	(B L-EY1_)(K L-IY0_)
blakely	(B L-EY1_)(K L-IY0_)
blakeman	(B L-EY1_K)(M-AH0_N)
blakemore	(B L-EY1_K)(M-AO0_R)
blakeney	(B L-EY1_K)(N-IY0_)
